Name,Trait,Resources,Influence,Expansion,Technology Specialties,Faction,Legendary ,System ID,Flavour
Elysium,,4,1,Prophecy of Kings,,Titans of Ul,,,"Larger than a thousand terrestrial planets§ Elysium is an artificial shell-world built around the powerful singularity in its hollow heart. Its surface is covered in calm seas and cultivated plants"
Acheron,,4,0,Prophecy of Kings,,Vuil’Raith Cabal,,,"Once a dusty§ dead world concealing a portal to Ixth. Now§ a gravity rift has shattered the world§ creating a labyrinth of strange energies and tumbling shards of rock"
Abyz,Hazardous,3,0,Base,,,,,"Its thick§ complex atmosphere is inhospitable to most races§ but Abyz is known for its seemingly endless natural reserves of rare minerals and precious metals."
Fria,Hazardous,2,0,Base,,,,,"Brutally cold ice world populated only by a few scattered mining camps. Despite brutal climate§ highly prized for its deposits of rare ores used in starship drives."
Arinam,Industrial,1,2,Base,,,,,Isolated planet poor in resources but rich in natural beauty. Boasts many exotic resorts frequented by the rich and famous of the galaxy.
Meer,Hazardous,0,4,Base,Red,,,,Hellish world immolated in the inferno of its nearby sun. Famed for the fiery majesty of its surface when viewed from the safety of its many orbital stations.
Arnor,Industrial,2,1,Base,,,,,"Lush§ green world that is renowned for some of the most fertile soil in the galaxy. Dominated by endless fields and the processing facilities of large agricultural firms."
Lor,Industrial,1,2,Base,,,,,Wreathed in vast seas of methane ice. Sea floor drilling platforms harvest rare crystals used in advance computers and energy weapons.
Bereg,Hazardous,3,1,Base,,,,,A frozen world that is inhospitable to most races. Indentured laborers risk attacks from arctic sharaks in the infamous Iodinium mines.
Lirta IV,Hazardous,2,3,Base,,,,,Covered in vast swamps and fetid bogs. Home to rare biochemical compounds unique to its marshlands used in everything from exotic foods to biogenic drugs.
Centauri,Cultural,1,3,Base,,,,,Venerable world with few resources but a rich history. Site of important treaties between several races during the Twilight Wars.
Gral,Industrial,1,1,Base,Blue,,,,Backwater planet with modest resources and an unassuming populace. Most noted for the reliable and affordable vehicles produced in its factories.
Coorneeq,Cultural,1,2,Base,,,,,Former garden world that has subsequently enjoyed increased industrialization. Home to the esteemed Free Worlds Academy of Military Science and Research.
Resculon,Cultural,2,0,Base,,,,,"Poor in natural resources§ but a nearby nexus of major trade routes has brought it increasing wealth as interstellar commerce has intensified."
Dal Bootha,Cultural,0,2,Base,,,,,"A populous planet whose resources have been severely depleted. Well-educated citizenry and many universities§ but dependent on foreign imports."
Xxehan,Cultural,1,1,Base,,,,,Known for genetically complex native lifeforms adapted to tainted atmosphere and biochemistry.
Lazar,Industrial,1,0,Base,Yellow,,,,"The only inhabited world in a forgettable system. Few native resources and only rudimentary§ often underdeveloped§ industries."
Sakulag,Hazardous,2,1,Base,,,,,Jungle planet plagued by dangerous predators such as the arboreal razeden. Home to many exotic biochemicals and natural pharmaceuticals.
Lodor,Cultural,3,1,Base,,,,,Wealthy planet ruled by powerful biotech consortiums. Rumored to harbor hidden caches of outlawed bacterial weapons.
Mehar Xull ,Hazardous,1,3,Base,Red,,,,Unstable radiation belts create hazardous living conditions but facilitate research in the electro-quantum propulsion technologies.
Mellon ,Cultural,0,2,Base,,,,,Poor in natural resources but rich in exotic plant and animal life. Protected as a planetary xenological garden and lifeform preserve.
Zohbat ,Hazardous,3,1,Base,,,,,Known for its highly intoxicating Zohlian whiskey and the planetary space elevator that links the surface with orbital stations and shipyards.
New Albion ,Industrial,1,1,Base,Green,,,,Rare atmospheric composition and biochemistry support lifeforms unlike any others in the galaxy.
Starpoint ,Hazardous,3,1,Base,,,,,Large planet with eight small moons that supply a wide range of valuable resources. Acidic rains and toxic storms make it an unappealing destination for tourists.
Quann ,Cultural,2,1,Base,,,,,"Since the discovery of the Alpha Wormhole§ this temperate planet with two continents and one large ocean has been a haven for traders and smugglers alike."
Qucen'n ,Industrial,1,2,Base,,,,,"After the Twilight Wars§ existed for centuries as a near-utopia of scattered communal farms free from governmental interference."
Rarron ,Cultural,0,3,Base,,,,,"Large§ populous world with three distinctive moons renowned for its biomodification clinics and cyber boutiques."
Saudor ,Industrial,2,2,Base,,,,,Prosperous planet with large native population and substantial industry. Extreme axial tilt results in long day-night cycle that some races find uncomfortable.
Tar'Mann ,Industrial,1,1,Base,Green,,,,"Small§ isolated planet with small population and modest resources. Most famous for its delicious avinberries."
Tequ'ran ,Hazardous,2,0,Base,,,,,Desolate planet transformed into weapons testing facility for large defense consortiums.
Torkan ,Cultural,0,3,Base,,,,,Populous planet almost completely dependent on foreign imports to sustain the extravagant lifestyles of its citizens.
Thibah ,Industrial,1,1,Base,Blue,,,,Burdened by overpopulation and low mineral content in the planetary crust. Historically used as a staging world for deep-space exploration and trade.
Vefut II ,Hazardous,2,2,Base,,,,,"Massive§ rocky world cursed with extreme gravity. Underground cities support advanced research in antigravity technologies."
Wellon ,Industrial,1,2,Base,Yellow,,,,Sky cities suspended in helium-rich atmosphere more noted for fantastic views than the small quantities of exotic elements harvested by their chemical mines.
Archon Vail ,Hazardous,1,3,Prophecy of Kings,Blue,,,,"A former Xxcha colony§ its extremely low temperatures create exotic molecular compounds that give the world its famed violet hue. Orbital facilities use the compounds in high-energy stardrive research"
Perimeter ,Industrial,2,1,Prophecy of Kings,,,,,Former garrison world with fond memories of the Lazax. Maintains formidable military with informal ties to the Winnu. Perpendicular rings make orbital navigation difficult
Ang ,Industrial,2,0,Prophecy of Kings,Red,,,,High rotational speed creates extremely energized magnetosphere. Orbital taps use this to energize starship fuels and power labs developing new beam weapons
Sem-Lore ,Cultural,3,2,Prophecy of Kings,Yellow,,,,"Home to the Semanora§ and heavily damaged in the Twilight Wars. Rustling warship hulks litter the rod-deserts§ making it a war memorial and salvage site"
Vorhal ,Cultural,0,2,Prophecy of Kings,Green,,,,"This icy world is wreathed by powerful storms§ forcing inhabitants to live underground in geothermal vents. Pacifistic locals award yearly ""peace prizes"" to peacemakers across the galaxy"
Atlas ,Hazardous,3,1,Prophecy of Kings,,,,,"Heavy grav world and former Sol colony famed for squat§ strong inhabitants and strategic location. Visitors need support exoskeletons to move on the surface"
Primor,Cultural,2,1,Prophecy of Kings,,,TRUE,,Large temperate world. Site of several pitched battles during the Twilight Wars due to valuable osmium deposits and a well- educated populace
Hope's End ,Hazardous,3,0,Prophecy of Kings,,,TRUE,,"Buried in the Ichal Nebula. The Lazax used the toxic wildlife and fierce aurora storms to train their troops. Even now§ volatile weapon caches remain hidden beneath its sands."
Cormund ,Hazardous,2,0,Prophecy of Kings,,,,,A remote and sparsely settled Naaz-Rokha world destroyed during early entropic field tests. Now mining corporations harvest metals from the shattered core
Everra ,Cultural,3,1,Prophecy of Kings,,,,,"Ancient world of red seas and bare rocks. Locals live in wondrous nano-carbon cities built by a mysterious ancient race§ and mine nearby nebulae for rare gases"
Jeol Ir ,Industrial,2,3,Prophecy of Kings,,,,,"Heavily industrialized world. Pollution has killed all life outside of dome cities§ but twin suns provide constant power for factories and huge populace"
Accoen ,Industrial,2,3,Prophecy of Kings,,,,,"Populace lives on continent sized fungal rafts that float atop a soupy§ world-spanning ocean of useful bio-compounds. Popular research site for biologists"
Kraag ,Hazardous,2,1,Prophecy of Kings,,,,,"A heavily irradiated world known only for its dust mines. Recently a massive ""tomb"" of dormant Titans was discovered in the southern hemisphere"
"Siig,,,,,,,,,
"§Hazardous§0§2§Prophecy of Kings§§§§§"World covered in frozen, cesium-laced oceans. Archives buried deep beneath the surface use the cold to preserve relics and operate massive computers",,,,,,,,
"Ba'kal,,,,,,,,,
"§Industrial§3§2§Prophecy of Kings§§§§§"Dry, rocky deserts stretch from pole to pole. Shield cities protect against sandstorms while supplying nomadic harvester crawlers that mine the barrens for salt compounds",,,,,,,,
"Alio Prima,,,,,,,,,
"§Cultural§1§1§Prophecy of Kings§§§§§"Wet planet covered in rivers, lakes and small seas but no oceans. Dry poles provide haven from constant floods. Numerous farms famous for luxury foodstuffs",,,,,,,,
Lisis ,Industrial,2,2,Prophecy of Kings,,,,,Primordial world with primitive native life. Potential for terraforming led to the infamous genocide of Saar settlements by Sardakk N'orr and ongoing conflicts between them and Naalu forces
Velnor ,Industrial,2,1,Prophecy of Kings,Red,,,,"Barren world of windswept rocks and thick§ murky oceans. Lack of local lifeforms allows corporations to strip-mine the surface and test orbital kinetic weapons at the poles"
Cealdri ,Cultural,0,2,Prophecy of Kings,Yellow,,,,Small cities huddle on the shores of the single ocean and avoid the arid continental interiors. Mentak ships hunt departing vessels carrying bespoke cybernetics
Xanhact ,Hazardous,0,1,Prophecy of Kings,,,,,"Rebelled during the end of the Lazax Empire§ and was bombarded to ash by a Lazax fleet as an example. Left by the Galactic Council as a memorial to Lazax tyranny"
Vega Major ,Cultural,2,1,Prophecy of Kings,,,,,Most of the population resides in orbital habitats supporting mining operations in the planetary ring. Surface colonization limited due to oceanic macrosquid infestations
Vega Minor ,Cultural,1,2,Prophecy of Kings,Blue,,,,Famous for extremely shallow seas covering most of the surface and for the renowned Vega Propulsion Corporation. Stilt cities host vibrant multi-species populations
Abaddon ,Cultural,1,0,Prophecy of Kings,,,,,A temperate planet whose low gravity allows for stunningly tall mountain ranges. Serves as a stop-over for trade routes to the nearby Vorish Cluster
Ashtroth ,Hazardous,2,0,Prophecy of Kings,,,,,"Covered in boggy landmasses and shallow seas. Algal blooms provide rich biomass for processed foods§ but create smelly (and often toxic) offgassing"
Loki ,Cultural,1,2,Prophecy of Kings,,,,,"Cold and wracked with violent storms§ Loki still hosts several Yssaril and human colonies§ some of which have engaged in escalating shadow-conflicts"
Rigel I ,Hazardous,0,1,Prophecy of Kings,,,,,"Hot§ innermost world of the Rigel system. Cities and native life cluster inland from the heavily alkaline oceans"
Rigel II ,Industrial,1,2,Prophecy of Kings,,,,,"Temperate world with expansive oceans. Covered in estates and resorts for the system's elite§ with extensive fisheries that feed much of the rest of the system"
Rigel III ,Industrial,1,1,Prophecy of Kings,Green,,,,"Outermost world of the Rigel system§ and extensively settled despite cooler climates. Boasts a diverse range of industries and research institutions"
Mirage,Cultural,1,2,Prophecy of Kings,,,TRUE,,"Exists on no known charts and appears deserted to those who stumble across it. However§ secretive local live in cloaked cities heavily defended by swarms of starfighters."
Mallice,Cultural,0,3,Prophecy of Kings,,,TRUE,,"Trapped in a space believed to be beyond our universe§ a shimmering world of strange energies and disconcerting warping of physical laws sitting at the heart of a strategically vital wormhole nexus"
Custodia Vigilia,,2,3,Codex III,,Council Keleres,TRUE,,"Custodia Vigilia. The fully realized seat of the Keleres. A veritable fortress in the heart of Mecatol City. Ten thousand people come and go daily§ and the Keleres see them all."
